url,type_boit,type_carburant,kilometrage,marke,model,puissance,price,has_abs,has_airbags,has_bluetooth_audio,has_rear_camera,has_ac,has_esp,has_alloy_wheels,has_speed_limiter,has_trip_computer,has_parking_sensor,has_cruise_control,has_leather_seats,has_gps,has_sunroof,has_remote_locking,has_power_windows
https://www.avito.ma/fr/mesnana/voitures_d'occasion/Ford_KUGA_2L_diesel__54847440.htm,Manuelle,Diesel,200 000 - 249 999,Ford,Kuga,8 CV,145 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/saâida_1_et_2/voitures_d'occasion/fiat_grande_punto__54847333.htm,Manuelle,Diesel,130 000 - 139 999,Fiat,Grande Punto,6 CV,,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1
https://www.avito.ma/fr/centre/voitures_d'occasion/Hyundai_Accent_Diesel_Automatique_2012_à_Fès_54847297.htm,Automatique,Diesel,15 000 - 19 999,Hyundai,Accent,7 CV,95 000 DH,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
https://www.avito.ma/fr/haddad/voitures_d'occasion/فياط_دوبلو_54847258.htm,Manuelle,Diesel,5 000 - 9 999,Fiat,Doblo,5 CV,70 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/el_matar/voitures_d'occasion/ford_fiesta__54847332.htm,Manuelle,Diesel,0 - 4 999,Ford,Fiesta,6 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/saâida_1_et_2/voitures_d'occasion/dacia_dokker_54847233.htm,Manuelle,Diesel,190 000 - 199 999,Dacia,Dokker,7 CV,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/marjane/voitures_d'occasion/Peugeot_308_54847214.htm,Manuelle,Diesel,150 000 - 159 999,Peugeot,308,6 CV,116 000 DH,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1
https://www.avito.ma/fr/hay_anas/voitures_d'occasion/dacia_stepway_54847216.htm,Manuelle,Diesel,75 000 - 79 999,Dacia,Sandero,6 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/khouribga/voitures_d'occasion/Ford_focus_2006_tt_option_54847103.htm,Manuelle,Diesel,250 000 - 299 999,Ford,Focus,7 CV,63 000 DH,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1
https://www.avito.ma/fr/agdal/voitures_d'occasion/_AUDI_A4_54847105.htm,Manuelle,Diesel,200 000 - 249 999,Audi,A4,8 CV,65 000 DH,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/hay_essalam/voitures_d'occasion/Peugeot_208_Essence_Manuelle_2013_à_El_Jadida_54847038.htm,Manuelle,Essence,120 000 - 129 999,Peugeot,208,6 CV,77 000 DH,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
https://www.avito.ma/fr/deroua/voitures_d'occasion/Hyundai_I10_2018_tt_options_54846875.htm,Manuelle,Essence,110 000 - 119 999,Hyundai,i10,6 CV,84 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_el_qods/voitures_d'occasion/Nissan_juke_tekna___54846542.htm,Manuelle,Diesel,180 000 - 189 999,Nissan,Juke,6 CV,145 000 DH,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
https://www.avito.ma/fr/palmeraie/voitures_d'occasion/Peugeot_206_plus_Diesel_Manuelle_2013_à_Marrakech_54846587.htm,Manuelle,Diesel,180 000 - 189 999,Peugeot,206,6 CV,71 000 DH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aïn_chock/voitures_d'occasion/دسيا_لوغان_2009_54846863.htm,Manuelle,Essence,200 000 - 249 999,Dacia,Logan,7 CV,50 000 DH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
https://www.avito.ma/fr/hay_al_amal/voitures_d'occasion/hyundai_atos_2006_essence__54846559.htm,Manuelle,Essence,200 000 - 249 999,Hyundai,Atos,6 CV,33 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/agdal/voitures_d'occasion/entretien_suivant_les_normes__54846748.htm,Automatique,Diesel,150 000 - 159 999,Jeep,Cherokee,8 CV,215 000 DH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/oulfa/voitures_d'occasion/Ford_focus___54846548.htm,Manuelle,Diesel,200 000 - 249 999,Ford,Focus,6 CV,10 500 DH,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1
https://www.avito.ma/fr/jirrari/voitures_d'occasion/Ford_Fiesta_Diesel_Manuelle_2009_à_Tanger_54846537.htm,Manuelle,Diesel,200 000 - 249 999,Ford,Fiesta,6 CV,76 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/jirrari/voitures_d'occasion/Ford_Fiesta_Diesel_Manuelle_2009_à_Tanger_54846467.htm,Manuelle,Diesel,200 000 - 249 999,Ford,Fiesta,6 CV,76 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_hassani/voitures_de_location/RENAULT_CLIO_5_54846453.htm,,,,,,,260 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/narjis/voitures_d'occasion/Citroën___________54846252.htm,Manuelle,Diesel,0 - 4 999,Citroen,C3,6 CV,119 999 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/mabrouka/voitures_d'occasion/Citroën_c_elysee_diesel_54846298.htm,Manuelle,Diesel,110 000 - 119 999,Citroen,C-Elysée,6 CV,105 000 DH,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
https://www.avito.ma/fr/hay_hassani/voitures_de_location/citroen_elysee_54846345.htm,,,,,,,350 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/aïn_diab/voitures_d'occasion/_kia_54846307.htm,Automatique,Essence,0 - 4 999,Kia,Sportage,15 CV,33 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_bernoussi/voitures_d'occasion/dacia_logan__54846330.htm,Manuelle,Diesel,95 000 - 99 999,Dacia,Logan,6 CV,94 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_riad/voitures_d'occasion/Audi_A5__54846429.htm,Automatique,Diesel,170 000 - 179 999,Audi,A5,12 CV,100 000 DH,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
https://www.avito.ma/fr/hay_chmaou/voitures_d'occasion/hyundai_accent_1_6_automatique__54846423.htm,Automatique,Diesel,70 000 - 74 999,Hyundai,Accent,7 CV,146 000 DH,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1
https://www.avito.ma/fr/el_qaria/voitures_d'occasion/Volkswagen_golf5_54846388.htm,Manuelle,Diesel,300 000 - 349 999,Volkswagen,Golf 5,8 CV,79 000 DH,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
https://www.avito.ma/fr/hay_el_matar/voitures_d'occasion/Mercedes_GLA_220___4_matic__model_2015_54846176.htm,Automatique,Diesel,140 000 - 149 999,Mercedes-Benz,220,9 CV,228 000 DH,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
https://www.avito.ma/fr/hay_mohammadi/voitures_d'occasion/Audi_A6__54846254.htm,Automatique,Diesel,200 000 - 249 999,Audi,A6,8 CV,150 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/al_amal/voitures_d'occasion/mercedes_benz_54846183.htm,Manuelle,Diesel,250 000 - 299 999,Mercedes-Benz,310D,8 CV,88 000 000 DH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/voitures_d'occasion/Citroën_C5_Diesel_Manuelle_54780949.htm,Manuelle,Diesel,180 000 - 189 999,Citroen,C5,8 CV,98 000 DH,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
https://www.avito.ma/fr/ouled_arfa/voitures_d'occasion/Citroën_Berlingo__54846162.htm,Manuelle,Diesel,100 000 - 109 999,Citroen,Berlingo,6 CV,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/maarif/voitures_d'occasion/_ولز_ا_ن_توار___54846135.htm,Manuelle,Diesel,140 000 - 149 999,Volkswagen,Touareg,12 CV,150 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/el_kelâa_des_sraghna/voitures_d'occasion/Volkswagen_Touran__54846165.htm,Manuelle,Diesel,200 000 - 249 999,Volkswagen,Touran,7 CV,210 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/azib_derai/voitures_d'occasion/Opel_Vectra__54846154.htm,Manuelle,Diesel,5 000 - 9 999,Opel,Vectra,7 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/el_matar/voitures_d'occasion/Partner__54846146.htm,Manuelle,Diesel,0 - 4 999,Peugeot,Partner,5 CV,50 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_bernoussi/voitures_d'occasion/peugeut_307_54846139.htm,Manuelle,Diesel,250 000 - 299 999,Peugeot,307,6 CV,54 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/2_mars/voitures_d'occasion/Renault_science__54846134.htm,Manuelle,Diesel,25 000 - 29 999,Renault,Scenic,6 CV,72 000 DH,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
https://www.avito.ma/fr/marjane_2/voitures_d'occasion/hondai_4_4__54846023.htm,Manuelle,Diesel,200 000 - 249 999,Hyundai,Galloper,10 CV,58 000 DH,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
https://www.avito.ma/fr/inzegan/voitures_d'occasion/skoda_octavia_automatic__54846020.htm,Automatique,Diesel,140 000 - 149 999,Skoda,Octavia,8 CV,155 000 DH,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1
https://www.avito.ma/fr/hay_salam/voitures_d'occasion/fiat_Palio_très_bon_état__54845997.htm,Manuelle,Essence,190 000 - 199 999,Fiat,Palio,6 CV,29 000 DH,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/wifak/voitures_d'occasion/polo_2_eme_main_54845993.htm,Manuelle,Diesel,190 000 - 199 999,Volkswagen,Polo,6 CV,75 000 DH,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1
https://www.avito.ma/fr/route_d'ourika/voitures_d'occasion/Volkswagen__54845919.htm,Manuelle,Essence,15 000 - 19 999,Volkswagen,Golf 2,10 CV,13 000 DH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/hay_inbiat/voitures_d'occasion/jeep_54845996.htm,Automatique,Diesel,200 000 - 249 999,Jeep,Commander,8 CV,140 000 DH,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
https://www.avito.ma/fr/agdal/voitures_d'occasion/mecedesde_cariya_54845979.htm,Automatique,Diesel,200 000 - 249 999,Mercedes-Benz,220,9 CV,145 000 DH,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
https://www.avito.ma/fr/el_haouzia/voitures_d'occasion/range_rover_2012__54845924.htm,Automatique,Diesel,300 000 - 349 999,Land Rover,Range Rover,12 CV,145 000 DH,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
https://www.avito.ma/fr/béni_mellal/voitures_d'occasion/Peugeot__54845980.htm,Manuelle,Essence,130 000 - 139 999,Peugeot,206,6 CV,59 000 DH,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/tit_mellil/voitures_d'occasion/Renault_19_Diesel_Manuelle_1993_à_Tit_Mellil_54845782.htm,Manuelle,Diesel,250 000 - 299 999,Renault,19,6 CV,35 000 DH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/al_wifaq/voitures_d'occasion/Toyota_Yaris_Essence_Manuelle_2018_à_Agadir_54845840.htm,Manuelle,Essence,50 000 - 54 999,Toyota,Yaris,6 CV,105 000 DH,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
https://www.avito.ma/fr/guéliz/voitures_d'occasion/Peugeot_306_Essence_Manuelle_1995_à_Marrakech_54845836.htm,Manuelle,Essence,60 000 - 64 999,Peugeot,306,10 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/centre_ville/voitures_d'occasion/Dacia_duster__54845748.htm,Manuelle,Diesel,190 000 - 199 999,Dacia,Duster,6 CV,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/m'hamid/voitures_d'occasion/Renault_Clio_Diesel_Manuelle_2000_à_Marrakech_54845816.htm,Manuelle,Diesel,0 - 4 999,Renault,Clio,7 CV,46 000 DH,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d'occasion/kia_picanto__54845839.htm,Manuelle,Essence,100 000 - 109 999,Kia,Picanto,6 CV,51 000 DH,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
https://www.avito.ma/fr/al_qods/voitures_d'occasion/Peugeot_54846407.htm,Manuelle,Diesel,400 000 - 449 999,Peugeot,405,8 CV,34 000 DH,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
https://www.avito.ma/fr/el_houda/voitures_d'occasion/Skoda_Octavia_1ère_peinture_54845462.htm,Manuelle,Diesel,100 000 - 109 999,Skoda,Octavia,8 CV,162 000 DH,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
https://www.avito.ma/fr/centre/voitures_d'occasion/حي_المسيرة_سيدي_بنور_54845706.htm,Manuelle,Essence,100 000 - 109 999,Peugeot,309,7 CV,15 000 DH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
